Student,PriorCourses,PerceivedAbility,NumCategoriesMod1,NumExplanationsMod1,ClusterMod1,wordsMod1,Pretest1,Posttest1,Gain1,GroupPre1,GroupGain1,NumCategoriesMod2,NumExplanationsMod2,ClusterMod2,wordsMod2,Pretest2,Posttest2,Gain2,GroupPre2,GroupGain2,GroupPost2,NumCategoriesMod3,NumExplanationsMod3,ClusterMod3,wordsMod3,Pretest3,Posttest3,Gain3,MentalEffort,GroupMental,GroupPre3,GroupGain3,GroupAbility,GroupPost3
TS30,1,2.5,9,9,70,110,4,5,1,2,2,20,19,70,121,NA,3,NA,NA,NA,2,23,21,70,182,5,0,-5,3,1,3,1,2,1
TS22,2,2.5,13,13,20,95,5,5,0,3,1,18,16,70,136,2,NA,NA,1,NA,NA,3,2,50,15,5,3,-2,5,2,3,1,2,2
TS20,1,3,17,17,30,116,5,5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,22,70,210,5,4,-1,4,2,3,1,3,2
TS43,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,50,NA,3,4,1,2,3,2,9,8,60,NA,3,3,0,7,3,2,1,1,2
TS33,3,2.5,17,17,60,126,3,5,2,2,2,12,12,60,82,4,4,0,2,2,2,17,17,70,98,4,4,0,8,4,3,1,2,2
TS27,2,2.5,12,12,60,23,4,4,0,2,1,7,6,70,44,5,4,-1,3,1,2,12,11,60,49,4,4,0,6,3,3,1,2,2
TS38,1,3,11,11,70,70,5,5,0,3,1,14,12,70,61,5,4,-1,3,1,2,14,12,70,75,4,4,0,4,2,3,1,3,2
TS42,1,3.5,13,13,70,124,0,5,5,1,3,18,15,50,155,5,5,0,3,2,3,18,16,70,131,4,4,0,3,1,3,1,3,2
TS5,1,1.5,9,8,20,69,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,20,144,4,4,0,7,3,3,1,1,2
TS28,NA,3,12,11,20,179,5,5,0,3,1,16,10,50,202,0,3,3,1,3,2,21,18,20,221,5,5,0,7,3,3,1,3,3
TS17,1,1.5,10,9,70,111,5,5,0,3,1,7,4,60,28,2,3,1,1,3,2,17,14,70,71,5,5,0,8,4,3,1,1,3
TS24,2,3,13,13,70,132,0,5,5,1,3,25,22,70,239,5,4,-1,3,1,2,31,31,70,313,5,5,0,8,4,3,1,3,3
TS40,NA,1.5,11,11,70,115,5,5,0,3,1,15,11,50,93,2,4,2,1,3,2,20,18,70,129,5,5,0,4,2,3,1,1,3
TS25,1,3,14,13,70,131,2,4,2,1,2,16,14,30,71,4,5,1,2,3,3,14,14,70,77,5,5,0,5,2,3,1,3,3
TS35,2,4,22,22,60,188,5,5,0,3,1,21,21,30,110,4,5,1,2,3,3,34,34,70,106,5,5,0,5,2,3,1,3,3
TS6,0,0.5,15,15,60,61,5,5,0,3,1,24,20,50,183,2,3,1,1,3,2,35,35,70,203,3,4,1,6,3,2,2,1,2
TS2,2,3,8,8,20,77,4,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12,20,63,3,4,1,4,2,2,2,3,2
TS13,3,1.5,11,11,20,109,0,0,0,1,1,8,8,70,45,2,4,2,1,3,2,11,11,60,54,4,5,1,4,2,3,2,1,3
TS37,3,1.5,15,15,30,131,2,3,1,1,2,15,14,50,108,5,4,-1,3,1,2,15,13,20,40,4,5,1,7,3,3,2,1,3
TS41,2,3.5,14,13,70,102,2,NA,NA,1,NA,23,19,50,238,NA,4,NA,NA,NA,2,23,20,20,156,4,5,1,6,3,3,2,3,3
TS10,0,2,11,11,20,110,5,5,0,3,1,22,18,50,148,5,4,-1,3,1,2,22,16,20,196,4,5,1,7,3,3,2,2,3
TS8,2,3,11,10,20,107,5,5,0,3,1,13,9,50,135,5,5,0,3,2,3,30,22,20,281,4,5,1,7,3,3,2,3,3
TS3,0,2.5,16,15,30,115,5,5,0,3,1,19,18,30,177,5,NA,NA,3,NA,NA,17,17,60,160,4,5,1,NA,NA,3,2,2,3
TS11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,70,NA,5,4,-1,3,1,2,19,18,70,NA,1,3,2,7,3,1,2,2,2
TS44,1,2,11,9,20,83,2,5,3,1,3,13,10,50,101,3,3,0,2,2,2,20,18,20,234,3,5,2,6,3,2,2,2,3
TS16,1,2,16,15,30,178,5,5,0,3,1,15,7,50,75,3,4,1,2,3,2,16,14,20,120,3,5,2,8,4,2,2,2,3
TS31,3,3.5,11,9,20,144,5,5,0,3,1,18,12,50,122,3,4,1,2,3,2,18,18,70,107,3,5,2,1,1,2,2,3,3
TS1,1,3,16,14,60,82,5,2,-3,3,1,14,14,30,113,4,3,-1,2,1,2,19,16,20,81,0,3,3,3,1,1,3,3,2
TS21,1,0.5,15,15,70,122,2,5,3,1,3,19,15,50,109,5,5,0,3,2,3,11,7,50,71,2,5,3,7,3,1,3,1,3
TS45,NA,1,11,11,20,134,2,5,3,1,3,16,14,50,121,5,NA,NA,3,NA,NA,17,16,70,127,2,5,3,8,4,1,3,1,3
TS19,1,2.5,14,14,30,177,0,5,5,1,3,14,11,50,92,3,4,1,2,3,2,30,28,70,219,0,4,4,6,3,1,3,2,2
TS9,1,4,26,26,60,204,4,5,1,2,2,13,12,60,65,2,5,3,1,3,3,15,12,20,61,0,4,4,1,1,1,3,3,2
TS36,2,3,15,15,60,118,4,NA,NA,2,NA,15,15,70,142,NA,4,NA,NA,NA,2,20,20,20,161,1,5,4,7,3,1,3,3,3
TS23,2,3,12,12,20,78,NA,4,NA,NA,NA,9,8,30,47,2,4,2,1,3,2,23,22,20,135,NA,5,NA,5,2,NA,NA,3,3
TS4,1,3,7,7,20,74,3,4,1,2,2,10,8,60,33,2,4,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
TS39,NA,3,14,14,70,61,5,5,0,3,1,11,11,30,61,2,4,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
TS34,2,3,20,19,30,215,5,5,0,3,1,14,13,30,104,4,4,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
TS7,1,3,26,26,30,237,5,5,0,3,1,19,15,50,141,5,5,0,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
TS46,1,2.5,10,9,20,93,0,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
TS14,0,3,10,10,20,108,1,2,1,1,2,11,11,30,107,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
TS29,2,1.5,18,15,60,79,4,0,-4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
TS12,0,2.5,10,10,20,81,4,4,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
TS32,3,3.5,12,12,60,59,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA
TS15,2,1,18,18,30,137,5,5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
TS18,2,2.5,12,12,60,64,5,5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
TS26,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
