Student,PriorCourses,PerceivedAbility,NumCategoriesMod1,NumExplanationsMod1,ClusterMod1,wordsMod1,Pretest1,Posttest1,Gain1,GroupPre1,GroupGain1,NumCategoriesMod2,NumExplanationsMod2,ClusterMod2,wordsMod2,Pretest2,Posttest2,Gain2,GroupPre2,GroupGain2,GroupPost2,NumCategoriesMod3,NumExplanationsMod3,ClusterMod3,wordsMod3,Pretest3,Posttest3,Gain3,MentalEffort,GroupMental,GroupPre3,GroupGain3,GroupAbility,GroupPost3,Affordance,Recommendation
TS30,1,2.5,9,9,70,110,4,5,1,2,2,20,19,20,121,NA,3,NA,NA,NA,2,23,21,60,182,5,0,-5,3,1,3,1,2,1,NA,NA
TS22,2,2.5,13,13,20,95,5,5,0,3,1,18,16,20,136,2,NA,NA,1,NA,NA,3,2,20,15,5,3,-2,5,2,3,1,2,2,UnderstandCode,NA
TS20,1,3,17,17,30,116,5,5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,22,60,210,5,4,-1,4,2,3,1,3,2,UnderstandThermo,MoreTransparency
TS43,1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,50,NA,3,4,1,2,3,2,9,8,70,NA,3,3,0,7,3,2,1,1,2,UnderstandExample,AdditionalSupport
TS33,3,2.5,17,17,60,126,3,5,2,2,2,12,12,60,82,4,4,0,2,2,2,17,17,60,98,4,4,0,8,4,3,1,2,2,UnderstandCode,MoreTransparency
TS27,2,2.5,12,12,60,23,4,4,0,2,1,7,6,20,44,5,4,-1,3,1,2,12,11,20,49,4,4,0,6,3,3,1,2,2,NotUseful,NA
TS38,1,3,11,11,70,70,5,5,0,3,1,14,12,20,61,5,4,-1,3,1,2,14,12,50,75,4,4,0,4,2,3,1,3,2,NA,MoreModules
TS42,1,3.5,13,13,70,124,0,5,5,1,3,18,15,20,155,5,5,0,3,2,3,18,16,60,131,4,4,0,3,1,3,1,3,2,NA,More transparency
TS5,1,1.5,9,8,20,69,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,20,144,4,4,0,7,3,3,1,1,2,NA,NA
TS28,NA,3,12,11,20,179,5,5,0,3,1,16,10,50,202,0,3,3,1,3,2,21,18,20,221,5,5,0,7,3,3,1,3,3,ConnectThermoComp,MoreModules
TS17,1,1.5,10,9,70,111,5,5,0,3,1,7,4,60,28,2,3,1,1,3,2,17,14,50,71,5,5,0,8,4,3,1,1,3,NA,NA
TS24,2,3,13,13,70,132,0,5,5,1,3,25,22,20,239,5,4,-1,3,1,2,31,31,60,313,5,5,0,8,4,3,1,3,3,NA,NA
TS40,NA,1.5,11,11,70,115,5,5,0,3,1,15,11,50,93,2,4,2,1,3,2,20,18,60,129,5,5,0,4,2,3,1,1,3,NA,MoreTransparency
TS25,1,3,14,13,70,131,2,4,2,1,2,16,14,30,71,4,5,1,2,3,3,14,14,60,77,5,5,0,5,2,3,1,3,3,NA,ImproveGUI
TS35,2,4,22,22,60,188,5,5,0,3,1,21,21,30,110,4,5,1,2,3,3,34,34,60,106,5,5,0,5,2,3,1,3,3,NA,MoreTransparency
TS6,0,0.5,15,15,60,61,5,5,0,3,1,24,20,50,183,2,3,1,1,3,2,35,35,60,203,3,4,1,6,3,2,2,1,2,UnderstandThermo,MoreCoding
TS2,2,3,8,8,20,77,4,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12,50,63,3,4,1,4,2,2,2,3,2,NotUseful,AdditionalSupport
TS13,3,1.5,11,11,20,109,0,0,0,1,1,8,8,20,45,2,4,2,1,3,2,11,11,70,54,4,5,1,4,2,3,2,1,3,ConnectThermoComp,AdditionalSupport
TS37,3,1.5,15,15,30,131,2,3,1,1,2,15,14,20,108,5,4,-1,3,1,2,15,13,70,40,4,5,1,7,3,3,2,1,3,NA,MoreModules
TS41,2,3.5,14,13,70,102,2,NA,NA,1,NA,23,19,50,238,NA,4,NA,NA,NA,2,23,20,60,156,4,5,1,6,3,3,2,3,3,Syntax,AdditionalSupport
TS10,0,2,11,11,20,110,5,5,0,3,1,22,18,50,148,5,4,-1,3,1,2,22,16,50,196,4,5,1,7,3,3,2,2,3,NA,NA
TS8,2,3,11,10,20,107,5,5,0,3,1,13,9,50,135,5,5,0,3,2,3,30,22,50,281,4,5,1,7,3,3,2,3,3,NA,MoreTransparency
TS3,0,2.5,16,15,30,115,5,5,0,3,1,19,18,30,177,5,NA,NA,3,NA,NA,17,17,20,160,4,5,1,NA,NA,3,2,2,3,NA,MoreCoding
TS11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,20,NA,5,4,-1,3,1,2,19,18,60,NA,1,3,2,7,3,1,2,2,2,NA,More transparency
TS44,1,2,11,9,20,83,2,5,3,1,3,13,10,50,101,3,3,0,2,2,2,20,18,50,234,3,5,2,6,3,2,2,2,3,NA,NA
TS16,1,2,16,15,30,178,5,5,0,3,1,15,7,50,75,3,4,1,2,3,2,16,14,50,120,3,5,2,8,4,2,2,2,3,NA,ImproveGUI
TS31,3,3.5,11,9,20,144,5,5,0,3,1,18,12,50,122,3,4,1,2,3,2,18,18,60,107,3,5,2,1,1,2,2,3,3,UnderstandCode,NA
TS1,1,3,16,14,60,82,5,2,-3,3,1,14,14,30,113,4,3,-1,2,1,2,19,16,70,81,0,3,3,3,1,1,3,3,2,VisualizeThermo,AdditionalSupport
TS21,1,0.5,15,15,20,122,2,5,3,1,3,19,15,50,109,5,5,0,3,2,3,11,7,50,71,2,5,3,7,3,1,3,1,3,NA,AdditionalSupport
TS45,NA,1,11,11,20,134,2,5,3,1,3,16,14,50,121,5,NA,NA,3,NA,NA,17,16,60,127,2,5,3,8,4,1,3,1,3,NA,AdditionalSupport
TS19,1,2.5,14,14,30,177,0,5,5,1,3,14,11,20,92,3,4,1,2,3,2,30,28,60,219,0,4,4,6,3,1,3,2,2,NA,MoreTransparency
TS9,1,4,26,26,60,204,4,5,1,2,2,13,12,60,65,2,5,3,1,3,3,15,12,70,61,0,4,4,1,1,1,3,3,2,NotUseful,NA
TS36,2,3,15,15,60,118,4,NA,NA,2,NA,15,15,20,142,NA,4,NA,NA,NA,2,20,20,60,161,1,5,4,7,3,1,3,3,3,NA,MoreModules
TS23,2,3,12,12,20,78,NA,4,NA,NA,NA,9,8,30,47,2,4,2,1,3,2,23,22,60,135,NA,5,NA,5,2,NA,NA,3,3,NA,AdditionalSupport
TS4,1,3,7,7,20,74,3,4,1,2,2,10,8,60,33,2,4,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,UnderstandCode,MoreCoding
TS39,NA,3,14,14,70,61,5,5,0,3,1,11,11,30,61,2,4,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
TS34,2,3,20,19,30,215,5,5,0,3,1,14,13,30,104,4,4,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
TS7,1,3,26,26,30,237,5,5,0,3,1,19,15,50,141,5,5,0,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,MoreTransparency
TS46,1,2.5,10,9,20,93,0,4,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,UnderstandThermo,ImproveGUI
TS14,0,3,10,10,20,108,1,2,1,1,2,11,11,30,107,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,VisualizeThermo,NA
TS29,2,1.5,18,15,60,79,4,0,-4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
TS12,0,2.5,10,10,20,81,4,4,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
TS32,3,3.5,12,12,60,59,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,AdditionalSupport
TS15,2,1,18,18,30,137,5,5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,UnderstandCode,MoreModules
TS18,2,2.5,12,12,60,64,5,5,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,UnderstandCode,AdditionalSupport
TS26,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,UnderstandCode,NA
